date,meantemp,humidity,wind_speed,meanpressure,month,day,season,temp_label
2017-01-01,0.20906567992599445,0.8723957124959398,0.07563978743768865,0.5836094334740594,1,1,Winter,Mild
2017-01-02,0.3191489361702128,0.7616506581287801,0.08406105079080473,0.8126179342029616,1,2,Winter,Mild
2017-01-03,0.260047281323877,0.8214158662397724,0.14666135405252842,0.8149150873738549,1,3,Winter,Mild
2017-01-04,0.327659574468085,0.6697972251867663,0.17613308098416172,0.706030027073588,1,4,Winter,Mild
2017-01-05,0.3144208037825059,0.7324795446460337,0.10668393266261578,0.6495200590696513,1,5,Winter,Mild
2017-01-06,0.3539651837524177,0.7884932570097993,0.4068949279627633,0.5436421811021788,1,6,Winter,Mild
2017-01-07,0.1578014184397163,1.0,0.48275060597004993,0.5271966527196597,1,7,Winter,Cold
2017-01-08,0.1993281075027995,0.8423861146997698,0.0313776272537105,0.6998277135121711,1,8,Winter,Mild
2017-01-09,0.15197568389057747,0.8075926208263455,0.28757844406813415,0.7164656657642041,1,9,Winter,Cold
2017-01-10,0.047281323877068515,0.6940590537175384,0.4447875507742025,0.7551891049306647,1,10,Winter,Cold
2017-01-11,0.0,0.6961935254357883,0.4677203351374084,0.7505947985888852,1,11,Winter,Cold
2017-01-12,0.03359462486002229,0.7277986856147842,0.292233971720815,0.7336684068033676,1,12,Winter,Cold
2017-01-13,0.09511889862327905,0.6314897357021787,0.2815783151591147,0.7816739297244837,1,13,Winter,Cold
2017-01-14,0.09361702127659566,0.7239701173959447,0.21691005080187262,0.8358651242923898,1,14,Winter,Cold
2017-01-15,0.23126734505087876,0.7020091875087004,0.12511639388991624,0.8065254844888585,1,15,Winter,Mild
2017-01-16,0.15531914893617016,0.7773745997865531,0.5016236676959857,0.7659857248338611,1,16,Winter,Cold
2017-01-17,0.03073286052009444,0.8541444325862684,0.3710307578222708,0.8172122405447411,1,17,Winter,Cold
2017-01-18,0.08687943262411346,0.775880469583778,0.25892353156024817,0.9648043317745447,1,18,Winter,Cold
2017-01-19,0.15400202634245186,0.7350205824058547,0.49928611747518015,1.0,1,19,Winter,Cold
2017-01-20,0.1814109742441209,0.6239959557377972,0.5488332345956034,0.9578221951630113,1,20,Winter,Mild
2017-01-21,0.18686401480111015,0.680293257853464,0.6865788641688718,0.9036051750152438,1,21,Winter,Mild
2017-01-22,0.31659574468085105,0.7490715048025616,0.24993326028488885,0.9268323898596975,1,22,Winter,Mild
2017-01-23,0.3028785982478097,0.745997865528282,0.299297445843563,0.876532843016598,1,23,Winter,Mild
2017-01-24,0.31267345050878814,0.6452136791796206,0.11177711273858035,0.8370876092841968,1,24,Winter,Mild
2017-01-25,0.42553191489361697,0.6686446104589114,0.411032971411495,0.8176716711789211,1,25,Winter,Mild
2017-01-26,0.22036474164133735,0.9463332825125783,0.39495965733638805,0.7922717204036402,1,26,Winter,Mild
2017-01-27,0.23404255319148937,0.7593383137673428,0.72354484178371,0.8063007629830068,1,27,Winter,Mild
2017-01-28,0.1644100580270793,0.8327350344426119,0.463184489581541,0.8687937708365894,1,28,Winter,Cold
2017-01-29,0.1985815602836879,0.8199928850942726,0.4968511693285076,0.7758634834686902,1,29,Winter,Mild
2017-01-30,0.23167848699763582,0.7659196015652794,0.16370599107923536,0.7115431946837276,1,30,Winter,Mild
2017-01-31,0.21808510638297873,0.745997865528282,0.180595676860245,0.697760275658375,1,31,Winter,Mild
2017-02-01,0.18085106382978722,0.7796157950907152,0.20709233987448947,0.7804577898104768,2,1,Winter,Mild
2017-02-02,0.25918762088974845,0.6249151062384788,0.09147053763051369,0.8387219475085459,2,2,Winter,Mild
2017-02-03,0.19729206963249513,0.7739400407490058,0.02605293899247478,0.7898552346004877,2,3,Winter,Mild
2017-02-04,0.327659574468085,0.7664887940234792,0.47038549656340267,0.6522766428747175,2,4,Winter,Mild
2017-02-05,0.32474804031354976,0.7668932202437795,0.3744396852276122,0.6444421415339932,2,5,Winter,Mild
2017-02-06,0.2505910165484634,0.664887940234792,0.4271231087647065,0.7184346541964004,2,6,Winter,Mild
2017-02-07,0.17553191489361697,0.5891141942369265,0.3486403028190058,0.723603248830905,2,7,Winter,Mild
2017-02-08,0.19999999999999996,0.648665955176094,0.1501942424544277,0.7018951513659815,2,8,Winter,Mild
2017-02-09,0.18617021276595747,0.6483457844183567,0.36188863432612817,0.7339404380999213,2,9,Winter,Mild
2017-02-10,0.15602836879432624,0.6919245819992885,0.4283627187302852,0.7046517351710477,2,10,Winter,Cold
